title,publication_date,author_name,full_text,article_url
"Prime Minister to lay Foundation Stone for Manipur Water Supply Project on July 23, 2020 ", 22-Jul-2020,,"Prime Minister Narendra Modi will lay the foundation Stone for Manipur Water Supply Project on  July, 23 2020 through video conferencing. The Governor, CM of Manipur and his cabinet colleagues, MPs and MLAs are expected to to present in the the program. “ Har Ghar Jal” the motto of Government of India initiated for Jal Jeevan Mission to provide safe and adequate quantity drinking water to every rural household of the country by 2024.  The programme also implement  source sustainability measures as mandatory elements, such as recharge and reuse through grey water management, water conservation, rain water harvesting. Jal Jeevan Mission is based on a community approach to water and has extensive Information, Education and Communication as a key components of the mission. It looks to create a Jan Andolan for water, thereby making it everyone’s priority. There are about 19 crore households in India. Only 24% have Freshwater Household Tap Connections (FHTCs).  The Mission aims to provide 14, 33, 21,049 households with FHTC through partnership of all stakeholders including inter alia the State governments, Panchayat Raj Institutions and local communities. Funds have also been provided by the union government under Jal Jeevan Mission to Manipur for FHTCs to cover 1,185 habitations with 1, 42,749 households. Manipur Government has planned to cover the remaining households through additional sources of funding including funds from Department for Development of North Eastern Region. An externally funded project, the Manipur Water Supply project was designed to provide FHTCs to remaining households in Greater Imphal Planning area, 25 Towns and for 1,731 rural habitations covering 2,80,756 households in 16 Districts of Manipur.  Manipur Water Supply Project is an important component of efforts of the State government to achieve the goal of  The project outlay is about Rupees 3054.58 Crores with a loan component funded by New Development Bank.",https://www.organiser.org//Encyc/2020/7/22/Prime-Minister-to-lay-Foundation-Stone-for-Manipur-Water-Supply-Project-on-July-23-2020-.html
Prime Minister to launch ‘Atma Nirbhar Uttar Pradesh Rojgar Abhiyan', 25-Jun-2020,,,https://www.organiser.org//Encyc/2020/6/25/Prime-Minister-to-launch-Atma-Nirbhar-Uttar-Pradesh-Rojgar-Abhiyan-.html
"National Centre of Polar and Ocean Research has found a dramatic decline in #Arctic sea ice due to #GlobalWarming", 25-Jun-2020,,"In the last 40 years (1979-2018), sea ice has been declining at a rate of ‘-4.7% /decade, while its rate was found to be ‘-13%’ in July 2019. The National Centre of Polar and Ocean Research (NCPOR) has found a dramatic decline in the Arctic sea ice due to global warming. The decline of sea ice has led to a localised increase in evaporation, air humidity, cloud cover, and rainfall. Arctic sea ice is a sensitive indicator of climate change and has strong retaliatory effects on other components of the climate system. The sea ice has been declining at a rate of ‘-4.7%’ per decade. If this decline continues with the same rate, there would be no ice left in the Arctic sea by 2050, which would be dangerous for humanity and the entire environment. The data collected with the help of satellite from 1979 to 2019, NCPOR has tried to understand the rate of surface warming and the changes in global atmospheric circulation. The study shows the decrease of the Arctic sea ice area and the increase in summer and autumn seasons have affected the local weather and climate over the Arctic Ocean and its marginal seas. Being a sensitive indicator of climate change, the loss of ice cover in the Arctic sea has had strong feedback effects on other components of the climate system such as prevention or reduction of heat and momentum, water vapour, and other material exchange between the atmosphere and the sea. The worrying element to note is that the volume of ice formation during winters is unable to keep pace with the volume of ice loss during summers. Dr Avinash Kumar, a senior scientist at NCPOR, said. “In the background of the global warming scenario, the study reveals that global ocean-atmospheric warming has enhanced the Arctic sea ice loss. The study demonstrated the application of satellite observations and model reanalysis data for the determination and validation of the 2019 sea-ice extent tied to the second-lowest sea-ice minimum record. Although there are no extreme weather events recorded this year, an accelerated decline in sea-ice extent and sea-ice volume in summer 2019 was dominant, and also the northern hemisphere has experienced record high-temperature rise especially during the spring and summer months”. Dr Avinash added, “The sea-ice loss at this rate, concerning to all the lives on Earth, can have a catastrophic impact due to rising global air temperature and slowing down of global ocean water circulation”. Led by Dr Avinash Kumar, the research team comprised Juhi Yadav and Rahul Mohan of NCPOR, Ministry of Earth Sciences, Goa. `The research paper has been published in the Journal of Natural Hazards. (Source: PIB)",https://www.organiser.org//Encyc/2020/6/25/National-Centre-of-Polar-and-Ocean-Research-has-found-a-dramatic-decline-in-Arctic-sea-ice-due-to-Global-Warming.html
Skill development will be the backbone of Atmnirbhar Bharat and Garib Kalyan Rozgar Abhiyaan: Dr Mahendra Nath Pandey, 29-Jun-2020,,"Union Minister for Skill Development and Entrepreneurship Dr Mahendra Nath Pandey,  today said that skilling, up-skilling and re-skilling of India’s workforce would play a crucial role in the success of the Government’s vision of Atmanirbhar Bharat and Garib Kalyan Rozgar Abhiyaan. The government is soon to get approval on the next phase of Pradhan Mantri Kaushal Vikas Yojana, focused on demand is driven skill development, digital technology and skills about Industry 4.0. “We need to focus on employment in the current scenario, and that’s why we will be focusing upon demand-based skilling in the next phase of PMKVY, where we have added certain aspects like - strengthening district skill committees and connecting with local employment offices. District Commissioner and State Skill Development Missions (SSDMs) will also have a crucial role to play and will be connected to the industry bodies so that we can bridge the demand-supply gap and impart relevant training to the migrant labourers who have returned to their home state,” said Dr Mahendra Nath Pandey. He also said that if required, the government would give permission to run PMKVY centres and Industrial Training Institutes in 2-3 shifts. He urged the industry to expand their operations from big cities to small districts and villages and invest in upskilling and re-skilling the youth across rural India which would help make a giant leap towards the success of the Atmanirbhar Bharat Abhiyaan. “We invite private sector people to come forward and impart training and focus on being vocal for local product and services empowering youth to drive local economic growth.” Dr Mahendra Nath Pandey added He further said, “I appeal to the industry to be more compassionate towards the migrant labour, do their counselling, treat them respectfully and facilitate those who intend to return and get back to work.” Dr Mahendra Nath Pandey said, “Our neighbouring country is trying to remove its blot and working on expansionist policy, but it is also able to understand now that this time around it has a strong opponent and it will further get to know this thing more clearly as our entire nation stands united.” He further informed, “We plan to simplify further the apprenticeship which is the on-the-job model of skill training so that industries do not hesitate in absorbing apprentices and they do so enthusiastically. We shall invite suggestions from the industry on that, our proposal is going ahead with whatever discussions we took in the past in this regard.” The Minister also said that his Ministry is working closely with other central ministries and state governments on compiling data of skilled persons across the country which would be made available at a single click. “The database of skilled youth in the country will also the registered data of people who have come in from overseas as a part of reverse migration. NSDC, the implementation arm of MSDE, has come up with an effective application called ‘Swades’ whereby both Ministry of External Affairs and Ministry of Civil Aviation is also cooperating in collating this information and segregating the workforce basis their skills so that they can later be connected with opportunities of employment within the country and add to their personal and nation’s overall growth.” He stated that about 20,800 people have connected through the Swades app already. “In future, we plan to use their skill on a bigger scale and also seek the help of industry bodies in utilising their skills and promote them as trainers as we go ahead.” “In the wake of the Covid-19 global pandemic we need to move ahead with innovative methods, especially in the industrial sector, there is a need for a big change in terms of the overall mindset and approach towards doing business as we need to give more importance to use of digital technology,” said the Dr Mahendra Nath Pandey. In his welcome remarks, ASSOCHAM president, Dr Niranjan Hiranandani said, “Industry will willingly work in tandem with the government to jointly fight this battle and support the Hon’blePrime Minister in his vision of New Atmnirbhar Bharat.” Maninder Nayyar, co-chairman, ASSOCHAM National Council on Skill Development said, “Post Covid-19, new sectors and avenues of working are set to emerge, requiring new levels of skill, as such government and industry need to predict the possibilities of the future and prepare for them today itself.” (Source: PIB)",https://www.organiser.org//Encyc/2020/6/29/Skill-development-will-be-the-backbone-of-Atmnirbhar-Bharat-and-Garib-Kalyan-Rozgar-Abhiyaan-Dr-Mahendra-Nath-Pandey.html
"Clean Energy Can Support India’s Economic Recovery post-Covid-19", 30-Jun-2020,,"Covid-19 has presented significant demand- and supply-side challenges for India’s transport and power sectors, from liquidity constraints and supply shortages to shifts in consumer demand and preferences. NITI Aayog and Rocky Mountain Institute (RMI) today released Towards a Clean Energy Economy: Post-Covid-19 Opportunities for India’s Energy and Mobility Sectors report, which advocates for stimulus and recovery efforts that work towards building a clean, resilient, and least-cost energy future for India. These efforts include electric vehicle, energy storage, and renewable energy programs. The report identifies how Covid-19 is beginning to influence the clean energy transition in India, specifically for the transport and power sectors, and recommends principles and strategic opportunities for the country’s leaders to drive economic recovery and maintain momentum towards a clean energy economy. Rajiv Kumar, Vice Chairman, NITI Aayog said he is confident that India’s economy will recover following the containment of the Covid-19 pandemic. “India’s strong democratic institutions promote policy stability. Ongoing economic reforms, if executed well, should keep the country's growth rate ahead of peers,” he said. “Clean energy will be a major driver of India’s economic recovery and international competitiveness,” added Amitabh Kant, CEO, NITI Aayog. “We must look at how to leverage our domestic innovation ecosystem to bring value to the country and industry in this new normal. We have recommended specific actions by which India can revive two of our economic powerhouses—the transport and power sectors—and emerge stronger.” The report lays out four principles as a framework for policymakers and other key decision-makers considering programmes to support India’s clean energy future, invest in least-cost-energy solutions, support resilient and secure energy systems, prioritise efficiency and competitiveness, and promote social and environmental equity. “India needs to identify strategic opportunities for economic recovery in the short, medium, and long terms that can translate challenges posed by the pandemic into clean energy transition opportunities” said Anil Srivastava, Principal Consultant and Mission Director, NITI Aayog. Opportunities in the transport sector include making public transport safe, enhancing and expanding non-motorized transport infrastructure, reducing vehicle kilometres travelled through work-from-home where possible, supporting national strategies to adopt electric vehicles in the freight and passenger segments, and making India an automotive export hub. In the power sector, opportunities include improving the electricity distribution business and its operations, enabling renewables and distributed energy resources, and promoting energy resilience and local manufacturing of renewable energy and energy storage technologies. “The principles and opportunities in the report can provide guidance to India’s public and private sector leaders on how to evaluate and prioritize stimulus and recovery options that continue to invest in a long-term clean energy future for India,” said Akshima Ghate, Director, RMI India. “Covid-19 has disrupted the world and affected everyone’s lives,” said Clay Stranger, senior director, Rocky Mountain Institute. “As India looks to recovery efforts, clean energy and mobility systems can make a more resilient India by bolstering manufacturing, enhancing the reliability of electricity, avoiding costly oil imports, and cleaning the air.” The report states that India’s transport sector can save 1.7 gigatonnes of cumulative carbon dioxide emissions and avoid about 600 million tonnes of oil equivalent in fuel demand by 2030 through shared, electric, and connected passenger mobility and cost-effective, clean, and optimized freight transport. Significant savings are also achievable in the power sector through the adoption of renewable energy, energy storage, efficiency, and flexible generation and demand. (Source: PIB)",https://www.organiser.org//Encyc/2020/6/30/Clean-Energy-Can-Support-India-s-Economic-Recovery-post-Covid-19.html
PM announces extension of Pradhan Mantri Garib Kalyan Anna Yojana, 30-Jun-2020,,"As the fight against coronavirus shifts to Unlock 2, PM asks everyone to follow regulations with same seriousness as during Lockdown. Prime Minister Modi today in his address to the nation announced the extension of Pradhan Mantri Garib Kalyan Anna Yojana till the end of November. PM emphasised on the provision of food to those in need during lockdown has been the foremost priority of the country. As soon as lockdown was announced, the government brought about PM Garib Kalyan Yojana, under which a package of Rs 1.75 lakh crore for the poor was announced. PM noted that in the last three months, Rs 31,000 crore has been transferred in the Jan Dhan accounts of almost 20 crore poor families, Rs 18,000 crore has been transferred to the bank accounts of more than 9 crore farmers and Rs 50,000 crore is being spent on PM Garib Kalyan Rojgar Abhiyaan, which has been started to provide employment opportunities. Government of India to provide free ration for three months to more than 80 crore people, providing 5 kg free rice/wheat to each member of the family, along with providing 1 kg pulses to each family, per month, has made the entire world take notice. The number of people who were provided free ration is several times the population of many large countries, PM said in his address. With the commencement of the rainy season, most of the work takes place in the agriculture sector. Also,several festivals take place one after the other, including Guru Purnima, Rakshabandhan, Shri Krishna Janmashtami, Ganesh Chaturthi, Onam, Dussehra, Deepawali, Chhath Puja, among others. He announced that keeping in mind that requirements as well as expenditure increase during this time, the government has decided to extend PM Garib Kalyan Anna Yojana till Deepawali and Chhath Puja, ie the scheme will continue to remain applicable from July till the end of November. During this five-month period, more than 80 crore peoplewill be provided 5 kg free wheat/rice per month. Along with providing 5kg free rice/wheat to each member of a family, 1 kg free whole chana will also be provided to each family per month. The government of India will spend more than Rs 90,000 crore towards the extension of the scheme, the Prime Minister said, adding that if the amount spent towards it in the previous three months is added together, a total of almost Rs 1.5 lakh crore would be spent towards the scheme. He credited and thanked the hard-working farmers and honest tax payers for making it possible for the government to procure and distribute free foodgrains. The country is moving towards the institution of ‘one nation, one ration card’, which will be of immense benefit to the poor who travel to other states in search of work. Prime Minister noted that the shift of the fight against coronavirus to Unlock 2 coincides with the weather which results in several ailments. He asked everyone to take care of their health. He observed that due to timely decisions like lockdown, it has been possible to save the lives of lakhs of people and the death rate in the country is amongst the lowest in the world. However, irresponsible and negligent behavior has been on the rise during Unlock 1, he said, adding that earlier people were more careful about usage of mask, washing hands for more than 20 seconds several times during the day and maintaining ‘do gazdoori’. He emphazied that when more being more careful is necessary, rise of negligence is a cause of concern. Prime Minister said that the regulations need to be followed with the same seriousness as during Lockdown, especially in the Containment Zones. He exhorted people to spread awareness amongst those not following such rules and regulations, giving example of the Prime Minister of a country being fined Rs 13000 for not wearing mask in a public place. He said that local administration in India will need to act with same alacrity, since no one, including the Prime Minister, is above the rule of law. Prime Minister said that in the coming times, government will continue to take further steps to empower the poor and the needy. Economic activities will also be enhanced, with due precautions in place. He reiterated the pledge to work towards Atmanirbhar Bharat and to be vocal for local, while also asking people to be careful,use mask/face cover and continue following the mantra of maintaining ‘do gaz doori’. (Source: PIB)",https://www.organiser.org//Encyc/2020/6/30/PM-announces-extension-of-Pradhan-Mantri-Garib-Kalyan-Anna-Yojana.html
PM to interact with representatives from Varanasi based NGOs tomorrow, 08-Jul-2020,,,https://www.organiser.org//Encyc/2020/7/8/PM-to-interact-with-representatives-from-Varanasi-based-NGOs-tomorrow.html
"Vice President launches Elyments mobile App, urges every Indian to adopt 'Atma Nirbhar Bharat' campaign to transform “Local” India into a “Glocal” India", 05-Jul-2020,,"The Vice President of India, Shri M Venkaiah Naidu today called for creating an ecosystem for innovation and entrepreneurship to thrive and urged every Indian to adopt Atm-Nirbhar Bharat campaign to transform “Local” India into “Glocal” India. Speaking at the virtual launch of Elyments mobile App through video conferencing from Upa-Rashtrapati Nivas, the Vice President said the Atm-Nirbhar Bharat Abhiyan was aimed at giving a new boost and a quantum jump to the economic potential of the country by strengthening infrastructure, using modern technologies, enriching human resource, and creating robust supply chains. Describing Atm-Nirbhar Bharat Abhiyan as a mission to galvanise the forces of growth across the country in various sectors of the economy, he said it was a launch pad for fostering entrepreneurship, nurturing innovation and creation of an ecosystem for rural-urban symbiotic development. The Vice President said the call for Atm-Nirbhar Bharat Abhiyan was not a call for protectionism or isolationism, but for adopting a pragmatic development strategy that would enable the country to recognise and capitalize on its inherent strengths. The Vice President said that it was quite appropriate that the Prime Minister has announced the ‘Atmanirbhar Bharat App Innovation Challenge’ yesterday in the backdrop of India becoming one of the IT superpowers because of the talented scientists and technology experts. He said it would encourage Indian IT specialists to prepare apps for various uses to enhance our quality of life. As the Prime Minister envisages, it would result in world class ‘Made in India’ apps and create an ‘Atmanirbhar App Ecosystem’, Shri Naidu added. Appreciating the efforts of more than one thousand IT professionals in creating the indigenous app Elyments, he said the ‘New India’ needs vibrant young thinkers who are willing to experiment and explore. “We should innovate not just imitate. Innovation is the watchword for 21st Century. We have all the ingredients for success. We have pioneers who have built global brands in various sectors”, Shri Naidu asserted. Expressing his happiness that the app would be available in eight Indian languages, he expressed the hope that it would be made available in all major Indian languages. The Vice President said such initiatives by Indian tech industry and professionals were truly praiseworthy as they not only demonstrated India’s prowess in technology but also was a step towards Atm-Nirbhar Bharat. “I hope this App would prove to be a good desi alternative to the many foreign Apps being used by the people”. Shri Naidu stressed the need to make India a leading power in every field, be it science & technology, economy, defence or human development. Talking about the number of internal and external challenges being faced by the country including the COVID-19 pandemic, Shri Naidu said, India is passing through a crucial moment in the history. “But we should remain resolute in our response to the challenges thrown at us”, he added. Dedicating the App to the nation on the occasion of Guru Purnima, the Vice reminded the audience of the crucial role of ‘Gurus’ in this transformation towards Atm-Nirbhar Bharat. Founder of Art of Living, Gurudev Sri Sri Ravishankar ji, Chairman, Chairman of GMR Group, Grandhi Mallikarjuna Rao, Yoga Guru, Baba Ramdev, Chairman of Ramoji Group, Shri Ch. Ramoji Rao, Chairman, Sumeru Software Solutions Pvt Ltd, Shri A L Rao and other dignitaries joined the App launch virtually via video conferencing. (Source: PIB)",https://www.organiser.org//Encyc/2020/7/5/Vice-President-urges-every-Indian-to-adopt-Atm-Nirbhar-Bharat-campaign-to-transform-Local-India-into-a-Glocal-India.html
PM chairs meeting to review planning and preparations for vaccination against Covid-19, 30-Jun-2020,,"Prime Minister Modi today chaired a high-level meeting to review the planning and preparations for vaccination against Covid-19, as and when the vaccine is available. PM noted that vaccination of India’s vast and diverse population will need to factor in issuesincluding those related to management of medical supply chains, prioritisation of at-risk populations, coordination between different agencies involved in the process, as well as the role of private sector and civil society in this national endeavour. Prime Minister Modi enunciated four guiding principles that will form the foundation of this national effort: first, that vulnerable groups should be identified and prioritised for early vaccination, for example doctors, nurses, healthcare workers, non-medical frontline corona warriors, and vulnerable people among the general population; second, that vaccination of “anyone, anywhere” should take place,ie without imposition of any domicile related restrictions for getting the vaccine; third, that vaccination must be affordable and universal - no person should be left behind; and fourth, that the entire process from production to vaccination should be monitored and supported in real time with the use of technology. PM directed officials to evaluate in a broad manner available technology options that can form the backbone of the national endeavor to vaccinate all in the most efficient and timely manner. Prime Minister directed that detailed planning for such large scale vaccination should be undertaken immediately. The current status of vaccine development efforts were also reviewed at the meeting. Prime Minister highlighted India’s commitment to play an enabling role in the vaccination efforts against Covid-19. (Source: PIB)",https://www.organiser.org//Encyc/2020/6/30/PM-chairs-meeting-to-review-planning-and-preparations-for-vaccination-against-Covid-19.html
"Indian Navy Completes “Operation Samudra Setu”", 08-Jul-2020,,"Operation Samudra Setu, which was launched on May 5, 2020 as part of the national effort to repatriate Indian citizens from overseas during the COVID-19 pandemic has culminated after successfully bringing 3,992 Indian citizens back to their homeland by sea. Indian Naval Ships Jalashwa (Landing Platform Dock), and Airavat, Shardul and Magar (Landing Ship Tanks) participated in this operation which lasted over 55 days and involved traversing more then 23,000 kilometers by sea.  Indian Navy has previously undertaken similar evacuation operations as part of Operation Sukoon in 2006 (Beirut) and Operation Rahat in 2015 (Yemen). The COVID-19 pandemic has had significant impact on ships and seafarers due to the compact environment and forced ventilation systems onboard ships.  It was in these trying times and difficult conditions that the Indian Navy took up the challenge to evacuate our distressed citizens from overseas. The greatest challenge for the Indian Navy was to avoid any incident of outbreak of infection onboard the ships during the evacuation operation. Rigorous measures were planned and medical/ safety protocols unique to the operating environment of ships were implemented.  These were strictly followed onboard the ships undertaking Op Samudra Setu resulting in the safe return of 3,992 of our citizens to their homeland. Operation Samudra Setu was undertaken utilising Indian Naval ships best suited for the operation, catering for COVID-19 related social distancing norms vis-à-vis medical arrangements and carrying capacity. Ships used for the operation were specially provisioned and the Sick Bay or the clinic onboard was especially equipped with COVID-19 related equipment and facilities.  Women Officers and military nursing staff were also embarked for the women passengers. Basic amenities and medical facilities were provided to all evacuees during sea passage on these ships.  One of the expectant mothers who undertook passage on Jalashwa, Mrs Sonia Jacob, also gave birth to a baby boy within a few hours of reaching Kochi on International Mother’s Day. Indian Naval ships Jalashwa, Airavat, Shardul and Magar steamed more then 23,000 kilometres during Operation Samudra Setu and undertook the evacuation operation in a smooth and coordinated manner. Along with other Government agencies, the Indian Navy has also been at the forefront of national efforts to assist our citizens.  Indian Naval IL-38 and Dornier aircraft have been used for ferrying of doctors and COVID-19 related material across the country. Indian Naval personnel also innovated various customised equipment such as Personnel Protection Equipment Nav Rakshak, hand-held temperature sensors, assisted respiratory system, 3-D printed face shield, portable multi-feed oxygen manifold, ventilators, air-evacuation stretcher pod, baggage disinfectants etc. Most of these innovations were carried on board the ships undertaking Operation Samudra Setu and niche equipment was also provided to host countries from where evacuation was undertaken. Indian Navy utilised its amphibious sea-lift ships for Operation Samudra Setu, which has reinforced the flexibility and reach of these multi-faceted platforms. Whilst Jalashwa, Magar, Airavat and Shardul were undertaking Operation Samudra Setu, another Landing Ship (Tank) Kesari undertook ‘Mission SAGAR’, carrying 580 tonnes of food aid and medical stores including ayurvedic medicines to Maldives, Mauritius, Madagascar, Comoros Islands and Seychelles, covering over 14,000 km in 49 days. One medical team each was also deployed at Mauritius and Comoros Island as part of the mission. The 3,992 Indian citizens evacuated during Operation Samudra Setu were disembarked at various ports as indicated in the table above and entrusted to the care of respective state authorities. This operation was undertaken by the Indian Navy in close coordination with Ministry of External Affairs, Home Affairs, health and various other agencies of the Government of India and State Governments. (Source: PIB)",https://www.organiser.org//Encyc/2020/7/8/Indian-Navy-Completes-Operation-Samudra-Setu-.html
